,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
1,SC6-LPT,25.0,20/09/2019,18:41:45.577,12.05,0.2,22.943,126.49,60.73,19399.96,1.0,51.64,19128.94,1.0,118.57,20730.88,1.0,28.87,19156.58,1.0,100.88,20154.91,1.0,47.15,18469.09,1.0
2,SC6-LPT,25.0,20/09/2019,18:41:56.021,12.05,0.2,23.028000000000002,87.17,265.37,19334.6,1.0,110.39,18941.91,1.0,84.18,20417.31,1.0,95.97,19002.86,1.0,47.95,19942.96,1.0,50.5,18308.35,1.0
3,SC6-LPT,25.0,20/09/2019,18:42:06.463,12.05,0.17,23.076,4.69,28.83,19304.6,1.0,84.97,18955.13,1.0,41.86,20334.92,1.0,100.36,19007.1,1.0,59.67,19939.6,1.0,50.3,18288.23,1.0
4,SC6-LPT,25.0,20/09/2019,18:42:17.907,12.05,0.11,23.094,86.54,113.68,19224.87,1.0,64.69,18919.67,1.0,30.36,20437.45,1.0,90.79,18997.37,1.0,45.38,19946.74,1.0,39.98,18287.55,1.0
5,SC6-LPT,25.0,20/09/2019,18:42:27.349,12.05,0.2,23.087,176.63,169.79,19290.86,1.0,244.06,18950.22,1.0,87.28,20439.27,1.0,127.06,18967.34,1.0,112.42,19937.11,1.0,175.12,18304.06,1.0
