,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
1,SC6-LPT,25.0,18/09/2019,21:37:04.695,12.35,0.26,25.708000000000002,173.59,124.17,18862.59,1.0,80.37,18810.31,1.0,37.15,20052.63,1.0,87.9,18641.43,1.0,42.36,18629.64,1.0,61.72,16800.55,1.0
2,SC6-LPT,25.0,18/09/2019,21:37:05.239,12.35,0.26,25.712,167.61,148.25,18779.96,1.0,106.89,18676.51,1.0,65.22,19793.1,1.0,109.25,18548.67,1.0,61.05,18552.77,1.0,61.2,16694.58,1.0
3,SC6-LPT,25.0,18/09/2019,21:37:05.777,12.35,0.24,25.897,169.47,149.98,18782.97,1.0,108.73,18654.06,1.0,68.51,19837.43,1.0,115.47,18566.1,1.0,66.13,18524.0,1.0,91.64,16711.5,1.0
4,SC6-LPT,25.0,18/09/2019,21:37:06.321,12.35,0.25,25.9,175.09,159.84,18719.54,1.0,115.15,18656.5,1.0,67.83,19843.08,1.0,114.41,18536.57,1.0,66.89,18521.84,1.0,107.71,16718.11,1.0
5,SC6-LPT,25.0,18/09/2019,21:37:06.859,12.35,0.26,25.904,167.34,151.63,18720.48,1.0,114.28,18652.47,1.0,74.02,19753.79,1.0,120.16,18570.58,1.0,84.52,18505.69,1.0,242.2,16692.36,1.0
6,SC6-LPT,25.0,18/09/2019,21:37:07.398,12.35,0.29,26.055999999999997,154.35,154.69,18702.09,1.0,127.37,18656.91,1.0,82.55,19791.55,1.0,118.57,18532.76,1.0,269.74,18500.77,1.0,117.97,16751.85,1.0
7,SC6-LPT,25.0,18/09/2019,21:37:07.937,12.35,0.26,26.058000000000003,140.82,157.28,18715.12,1.0,128.48,18645.91,1.0,125.36,19803.0,1.0,136.47,18520.14,1.0,158.36,18526.89,1.0,122.0,16762.23,1.0
8,SC6-LPT,25.0,18/09/2019,21:37:08.476,12.35,0.28,26.06,130.47,158.56,18758.3,1.0,134.03,18655.73,1.0,134.44,19806.21,1.0,148.61,18533.89,1.0,108.93,18513.96,1.0,101.7,16723.29,1.0
9,SC6-LPT,25.0,18/09/2019,21:37:08.014,12.35,0.27,26.07,120.6,158.05,18643.68,1.0,137.67,18639.39,1.0,208.9,19808.03,1.0,804.33,18573.17,1.0,110.62,18525.21,1.0,83.93,16674.37,1.0
10,SC6-LPT,25.0,18/09/2019,21:37:09.557,12.35,0.23,26.074,112.3,166.25,18717.58,1.0,131.78,18653.69,1.0,140.79,19738.45,1.0,789.76,18510.61,1.0,81.96,18498.49,1.0,82.66,16695.69,1.0
