In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0031.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.7360
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,18/09/2019,21:37:04.695,12.35,0.26,25.708,173.59,124.17,18862.59,1,80.37,18810.31,1,37.15,20052.63,1,87.90,18641.43,1,42.36,18629.64,1,61.72,16800.55,1
SC6-LPT,0025,18/09/2019,21:37:05.239,12.35,0.26,25.712,167.61,148.25,18779.96,1,106.89,18676.51,1,65.22,19793.10,1,109.25,18548.67,1,61.05,18552.77,1,61.20,16694.58,1
SC6-LPT,0025,18/09/2019,21:37:05.777,12.35,0.24,25.897,169.47,149.98,18782.97,1,108.73,18654.06,1,68.51,19837.43,1,115.47,18566.10,1,66.13,18524.00,1,91.64,16711.50,1
SC6-LPT,0025,18/09/2019,21:37:06.321,12.35,0.25,25.900,175.09,159.84,18719.54,1,115.15,18656.50,1,67.83,19843.08,1,114.41,18536.57,1,66.89,18521.84,1,107.71,16718.11,1
SC6-LPT,0025,18/09/2019,21:37:06.859,12.35,0.26,25.904,167.34,151.63,18720.48,1,114.28,18652.47,1,74.02,19753.79,1,120.16,18570.58,1,84.52,18505.69,1,242.20,16692.36,1
SC6-LPT,0025,18/09/2019,21:37:07.398,12.35,0.29,26.056,154.35,154.69,18702.09,1,127.37,18656.91,1,82.55,19791.55,1,118.57,18532.76,1,269.74,18500.77,1,117.97,16751.85,1
SC6-LPT,0025,18/09/2019,21:37:07.937,12.35,0.26,26.058,140.82,157.28,18715.12,1,128.48,18645.91,1,125.36,19803.00,1,136.47,18520.14,1,158.36,18526.89,1,122.00,16762.23,1
SC6-LPT,0025,18/09/2019,21:37:08.476,12.35,0.28,26.060,130.47,158.56,18758.30,1,134.03,18655.73,1,134.44,19806.21,1,148.61,18533.89,1,108.93,18513.96,1,101.70,16723.29,1
SC6-LPT,0025,18/09/2019,21:37:08.014,12.35,0.27,26.070,120.60,158.05,18643.68,1,137.67,18639.39,1,208.90,19808.03,1,804.33,18573.17,1,110.62,18525.21,1,83.93,16674.37,1
