SS_OBS501_I2016[FNU]Mean,Eco_ntu_suavizado,obs_err,eco_err
34.50833333,25.74121667,2.37857450307252,1.05427644761704
33.183,25.25361667,0.848476412295723,0.284697063879869
33.82181818,25.63963333,1.8069356279725,0.203535725402573
33.30727273,25.44385455,1.18050066420219,0.601318420916351
33.75222222,25.80216667,1.18439623625054,0.564230349210052
33.349,25.70058333,1.21317260840236,0.601318420916351
33.59,25.4771,0.929850645115774,0.55821278988203
33.54545455,25.54273846,1.76932961110339,0.397217875639142
33.31555556,25.98501667,0.860829703122388,0.741185050299775
35.006,25.9647,2.11656010230437,0.77416897595637
34.38727273,25.39270769,1.76268596697819,0.66969399524912
34.24454545,25.55836667,1.48011731721755,0.499183562660841
35.38454545,26.28164,2.01282072543167,0.470205258532394
34.09,26.24913333,1.07737644303187,0.601692724358086
34.68636364,26.16786667,1.58647579702479,0.420465524669857
35.33818182,26.77736667,1.35346827212032,0.400379409454522
34.298,26.51325,1.09747994160359,0.251795557281432
36.26363636,27.22433333,1.43539034918919,0.491280052207466
35.56727273,27.4275,0.867387928312251,0.523237094412942
35.8725,27.01747273,0.92264758788422,0.874925745767068
37.12545455,27.7932,1.92892904813196,0.466358934142518
36.21363636,27.640825,1.26755885644236,0.853036106379957
36.32545455,26.92635556,1.44670220595922,0.487599999999999
36.79777778,27.6713,0.984717951722442,0.652529976462244
36.62,27.57156364,2.28047802006509,
37.26545455,27.61035,3.72062189327635,0.567101769022607
36.89818182,28.11826667,0.878325886921457,0.722313932980513
37.00636364,27.39425455,1.71924560623125,0.901290933420871
35.85181818,26.41166667,2.5089074043568,0.789660224745715
34.671,26.84508889,1.78050835437523,0.64118318495315
36.34,28.189375,1.16265978591236,0.88128445048501
36.02727273,26.818,2.6987111401893,0.514559260656411
34.88636364,25.74121667,1.66195230212707,0.140757995628431
35.74727273,26.5742,2.37702373109353,1.25174411167423
36.25545455,26.95731429,2.32853758241676,1.18679347312712
36.70090909,27.69568,2.98931247796364,0.445115865065864
35.93818182,27.63066667,1.30633700232228,0.716157587829705
37.68727273,27.884625,1.72865896526233,0.667673797598797
35.98909091,27.1837,1.86410007534711,0.983868614922018
35.348,28.14148571,0.942735971049748,1.47269909787739
36.647,27.20808,2.24807102497526,0.140757995628431
37.16,28.5246,2.38277149554883,0.930076116316755
37.18363636,27.823675,1.77502266310756,0.826766024942969
36.10090909,27.27077143,1.22318808484595,0.993886444601145
36.99636364,29.0122,2.77129310152237,1.3412693430727
37.08636364,27.1837,2.41591089540684,1.63909044533851
36.91454545,24.8676,2.29273358084346,0.868709334505589
35.02222222,26.421825,0.9706412542461,0.97954389677762
36.12363636,26.51325,1.79668735581499,0.975200000000001
35.68363636,26.87895,1.74248255501898,1.18756560928802
36,27.12829091,1.63636181818081,4.64501385573821
