,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
25,SC6-LPT,25.0,18/09/2019,21:32:13.636,12.33,0.22,26.225,79.82,153.46,18654.13,1.0,102.59,18565.7,1.0,59.4,19722.85,1.0,131.71,18376.02,1.0,69.97,18393.41,1.0,65.18,16676.33,1.0
26,SC6-LPT,25.0,18/09/2019,21:32:14.175,12.33,0.21,26.23,81.22,143.38,18611.3,1.0,105.95,18529.28,1.0,59.08,19777.08,1.0,128.67,18409.03,1.0,67.19,18370.15,1.0,68.93,16665.19,1.0
27,SC6-LPT,25.0,18/09/2019,21:32:14.711,12.33,0.23,26.233,79.8,148.12,18666.98,1.0,104.88,18529.64,1.0,56.92,19753.45,1.0,125.37,18390.38,1.0,68.4,18353.42,1.0,67.07,16610.92,1.0
28,SC6-LPT,25.0,18/09/2019,21:32:15.255,12.33,0.22,26.235,81.99,151.24,18571.95,1.0,103.73,18571.51,1.0,60.39,19686.7,1.0,132.77,18427.4,1.0,67.42,18376.11,1.0,64.0,16610.87,1.0
29,SC6-LPT,25.0,18/09/2019,21:32:15.793,12.33,0.22,26.241999999999997,82.16,155.26,18550.52,1.0,104.81,18534.98,1.0,60.2,19723.17,1.0,131.05,18440.31,1.0,65.35,18346.08,1.0,65.46,16654.7,1.0
30,SC6-LPT,25.0,18/09/2019,21:32:16.333,12.33,0.25,26.245,81.5,153.12,18543.96,1.0,106.46,18538.62,1.0,62.69,19800.63,1.0,128.84,18415.18,1.0,70.14,18367.04,1.0,65.71,16671.16,1.0
31,SC6-LPT,25.0,18/09/2019,21:32:17.875,12.33,0.21,26.246,81.32,148.45,18643.0,1.0,105.05,18531.72,1.0,60.58,19792.79,1.0,128.9,18394.82,1.0,68.49,18372.85,1.0,70.51,16660.67,1.0
32,SC6-LPT,25.0,18/09/2019,21:32:17.415,12.33,0.22,26.250999999999998,80.86,142.89,18693.49,1.0,104.02,18551.8,1.0,59.99,19733.72,1.0,126.7,18416.74,1.0,57.82,18386.57,1.0,70.99,16594.28,1.0
33,SC6-LPT,25.0,18/09/2019,21:32:18.951,12.33,0.23,26.252,79.88,155.03,18672.84,1.0,109.74,18534.79,1.0,59.51,19722.63,1.0,128.73,18427.49,1.0,76.67,18375.34,1.0,67.47,16618.48,1.0
34,SC6-LPT,25.0,18/09/2019,21:32:18.494,12.33,0.22,26.256,79.87,151.92,18698.36,1.0,105.41,18548.88,1.0,59.96,19777.44,1.0,131.81,18390.22,1.0,73.45,18359.22,1.0,68.65,16616.15,1.0
