,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
1,SC6-LPT,25.0,20/09/2019,19:11:22.570,11.98,0.23,23.563000000000002,89.69,1852.06,16821.54,1.0,637.63,16793.05,1.0,2075.03,18104.22,1.0,1314.01,16963.38,1.0,836.97,17970.35,1.0,1551.73,16196.45,1.0
2,SC6-LPT,25.0,20/09/2019,19:11:33.013,12.0,0.24,23.656999999999996,87.62,78.87,18903.51,1.0,68.67,18731.01,1.0,25.73,20074.83,1.0,48.94,18722.29,1.0,27.07,19620.45,1.0,20.11,17953.65,1.0
3,SC6-LPT,25.0,20/09/2019,19:11:43.455,11.98,0.16,23.699,87.53,112.52,19134.69,1.0,90.3,18907.47,1.0,41.0,20312.79,1.0,79.72,18884.63,1.0,43.87,19738.5,1.0,37.31,17998.44,1.0
4,SC6-LPT,25.0,20/09/2019,19:11:54.900,12.0,0.28,23.72,87.5,115.66,19102.41,1.0,96.23,18892.25,1.0,46.51,20310.03,1.0,86.31,18840.94,1.0,47.57,19756.61,1.0,44.36,17985.61,1.0
5,SC6-LPT,25.0,20/09/2019,19:12:04.344,12.0,0.13,23.734,87.4,112.82,19029.59,1.0,96.46,18891.64,1.0,48.43,20321.75,1.0,87.84,18874.06,1.0,49.36,19766.65,1.0,46.81,18024.13,1.0
6,SC6-LPT,25.0,20/09/2019,19:12:15.788,12.0,0.22,23.741,87.45,140.29,19033.93,1.0,373.63,18912.35,1.0,224.75,20361.68,1.0,654.81,18841.85,1.0,492.86,19795.89,1.0,626.46,18082.95,1.0
7,SC6-LPT,25.0,20/09/2019,19:12:25.234,12.0,0.15,23.746,87.58,119.13,19046.7,1.0,159.19,18932.05,1.0,70.67,20241.68,1.0,115.94,18905.29,1.0,119.88,19749.82,1.0,139.39,18031.72,1.0
8,SC6-LPT,25.0,20/09/2019,19:12:36.678,12.0,0.26,23.753,87.33,113.88,19099.61,1.0,104.41,18915.19,1.0,53.35,20172.86,1.0,91.19,18847.83,1.0,69.54,19765.74,1.0,60.56,18067.62,1.0
9,SC6-LPT,25.0,20/09/2019,19:12:46.121,12.0,0.22,23.758000000000003,87.72,115.47,19128.26,1.0,99.09,18948.62,1.0,50.97,20240.22,1.0,87.07,18891.64,1.0,57.21,19787.67,1.0,53.88,18102.11,1.0
10,SC6-LPT,25.0,20/09/2019,19:12:56.566,12.0,0.16,23.763,87.58,115.2,19194.02,1.0,101.57,18943.34,1.0,52.22,20286.77,1.0,90.21,18919.62,1.0,56.29,19764.87,1.0,50.72,18097.75,1.0
11,SC6-LPT,25.0,20/09/2019,19:13:07.010,12.0,0.23,23.767,87.44,114.2,19066.94,1.0,103.43,18963.07,1.0,47.99,20452.91,1.0,85.58,18877.98,1.0,56.68,19731.94,1.0,51.29,18047.85,1.0
12,SC6-LPT,25.0,20/09/2019,19:13:17.454,12.0,0.21,23.773000000000003,87.41,118.28,19050.87,1.0,105.02,18932.66,1.0,49.14,20394.81,1.0,86.35,18871.54,1.0,54.34,19787.42,1.0,48.95,18033.62,1.0
13,SC6-LPT,25.0,20/09/2019,19:13:28.900,12.0,0.21,23.776,87.75,120.69,19179.38,1.0,103.51,18927.52,1.0,50.66,20283.33,1.0,87.01,18939.16,1.0,55.13,19745.16,1.0,48.51,18097.62,1.0
