In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0004.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.7360
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,14/08/2019,17:33:23.664,11.89,-0.41,22.632,114.86,63.25,18979.38,1,56.95,18876.88,1,23.40,20417.48,1,750.57,18704.04,1,89.47,18964.70,1,135.80,18862.08,1
SC6-LPT,0025,14/08/2019,17:33:23.206,11.89,-0.25,22.768,91.88,78.43,18783.62,1,393.75,18707.72,1,364.38,20113.57,1,430.31,18531.05,1,464.09,18792.88,1,162.26,18659.29,1
SC6-LPT,0025,14/08/2019,17:33:24.743,11.89,-0.24,22.770,79.35,91.13,18773.93,1,224.32,18694.44,1,374.19,19989.53,1,186.69,18491.62,1,92.92,18791.17,1,102.66,18683.18,1
SC6-LPT,0025,14/08/2019,17:33:24.286,11.89,-0.24,22.912,73.92,85.95,18801.94,1,213.19,18703.54,1,359.10,19968.28,1,204.46,18527.73,1,98.15,18781.50,1,102.79,18597.81,1
SC6-LPT,0025,14/08/2019,17:33:25.823,11.89,-0.31,22.915,73.00,85.81,18796.46,1,227.73,18668.73,1,365.88,19991.00,1,216.12,18513.03,1,104.06,18805.83,1,103.79,18685.29,1
SC6-LPT,0025,14/08/2019,17:33:25.362,11.89,-0.16,22.919,71.52,89.32,18732.61,1,233.60,18697.08,1,367.62,19999.27,1,214.30,18530.23,1,102.88,18767.32,1,105.39,18718.99,1
SC6-LPT,0025,14/08/2019,17:33:26.901,11.89,-0.32,22.931,69.94,86.15,18877.42,1,229.33,18687.79,1,381.34,20080.36,1,185.13,18506.38,1,60.83,18754.50,1,148.35,18707.48,1
SC6-LPT,0025,14/08/2019,17:33:26.439,11.89,-0.16,23.066,43.44,86.91,18834.51,1,162.83,18669.62,1,557.21,20095.20,1,116.20,18505.39,1,56.90,18800.93,1,180.48,18686.14,1
SC6-LPT,0025,14/08/2019,17:33:27.976,11.89,-0.31,23.069,37.37,88.16,18913.61,1,119.17,18701.46,1,512.19,20130.94,1,96.86,18481.94,1,56.90,18778.39,1,215.86,18651.13,1
SC6-LPT,0025,14/08/2019,17:33:27.517,11.89,-0.19,23.072,33.42,82.76,18816.44,1,275.10,18684.06,1,832.65,20074.21,1,112.05,18483.61,1,44.76,18760.91,1,210.41,18702.21,1
SC6-LPT,0025,14/08/2019,17:33:28.053,11.89,-0.23,23.075,36.37,84.84,18724.35,1,183.87,18685.88,1,857.06,20061.19,1,110.68,18467.21,1,70.66,18787.67,1,200.08,18709.24,1
SC6-LPT,0025,14/08/2019,17:33:29.592,11.89,-0.35,23.082,36.76,89.52,18861.94,1,193.22,18685.56,1,873.64,20118.36,1,108.58,18539.81,1,77.06,18787.18,1,193.71,18708.68,1
SC6-LPT,0025,14/08/2019,17:33:29.129,11.89,-0.17,23.086,36.94,86.44,18827.03,1,205.88,18683.39,1,855.94,20024.85,1,90.04,18492.72,1,48.83,18755.59,1,188.64,18647.30,1
SC6-LPT,0025,14/08/2019,17:33:30.668,11.89,-0.35,23.091,35.60,96.94,18885.97,1,149.82,18672.97,1,712.12,20127.32,1,68.80,18483.58,1,53.20,18793.85,1,183.67,18729.14,1
SC6-LPT,0025,14/08/2019,17:33:30.204,11.89,-0.32,23.101,38.74,95.64,18740.10,1,118.43,18691.87,1,688.94,20094.30,1,89.12,18459.44,1,44.51,18784.99,1,180.38,18722.65,1
SC6-LPT,0025,14/08/2019,17:33:31.746,11.89,-0.20,23.107,38.38,87.64,18848.02,1,130.65,18677.82,1,705.82,20015.25,1,92.73,18521.72,1,46.28,18794.25,1,174.66,18742.26,1
SC6-LPT,0025,14/08/2019,17:33:31.282,11.89,-0.28,23.111,36.48,86.44,18912.83,1,153.17,18655.64,1,663.93,19927.89,1,98.80,18495.97,1,44.44,18778.46,1,74.73,18711.31,1
SC6-LPT,0025,14/08/2019,17:33:32.820,11.89,-0.30,23.121,38.42,81.75,18824.21,1,138.39,18683.84,1,805.46,20000.94,1,102.30,18503.07,1,129.89,18746.53,1,45.86,18677.87,1
SC6-LPT,0025,14/08/2019,17:33:32.358,11.89,-0.31,23.124,41.82,87.58,18871.84,1,179.04,18688.63,1,865.47,20041.36,1,95.61,18497.52,1,139.80,18775.00,1,53.77,18716.61,1
SC6-LPT,0025,14/08/2019,17:33:33.896,11.89,-0.30,23.129,42.00,86.67,18864.93,1,182.48,18677.37,1,983.81,20024.98,1,122.90,18546.16,1,98.09,18761.82,1,56.69,18745.03,1
