,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
25,SC6-LPT,25.0,02/10/2019,14:15:31.238,11.54,0.28,22.6,178.86,99.58,19262.79,1.0,105.09,18869.01,1.0,67.36,20660.22,1.0,101.58,19002.39,1.0,75.0,20409.59,1.0,61.79,18716.0,1.0
26,SC6-LPT,25.0,02/10/2019,14:15:36.682,11.54,0.23,22.599,178.86,97.72,19157.96,1.0,108.56,18877.57,1.0,69.07,20652.57,1.0,106.07,19049.18,1.0,76.84,20418.43,1.0,64.98,18656.15,1.0
27,SC6-LPT,25.0,02/10/2019,14:15:42.126,11.54,0.22,22.601,178.76,103.9,19325.91,1.0,107.38,18851.22,1.0,66.88,20636.31,1.0,106.64,19017.15,1.0,78.0,20389.76,1.0,64.22,18701.03,1.0
28,SC6-LPT,25.0,02/10/2019,14:15:47.573,11.56,0.29,22.603,178.85,101.61,19312.06,1.0,106.23,18885.13,1.0,65.9,20683.73,1.0,104.09,18997.94,1.0,77.3,20391.26,1.0,63.09,18672.28,1.0
29,SC6-LPT,25.0,02/10/2019,14:15:53.017,11.54,0.26,22.605,178.76,101.6,19137.18,1.0,103.46,18873.77,1.0,64.43,20622.15,1.0,105.41,19006.28,1.0,76.19,20401.12,1.0,62.29,18691.91,1.0
30,SC6-LPT,25.0,02/10/2019,14:15:58.460,11.54,0.28,22.607,178.82,106.96,19125.86,1.0,109.2,18847.93,1.0,68.85,20560.58,1.0,105.31,19020.52,1.0,79.75,20418.65,1.0,64.85,18709.94,1.0
31,SC6-LPT,25.0,02/10/2019,14:16:04.908,11.54,0.3,22.608,178.9,104.2,19126.82,1.0,106.78,18858.85,1.0,68.51,20534.41,1.0,107.13,19025.66,1.0,80.45,20402.54,1.0,62.55,18632.22,1.0
32,SC6-LPT,25.0,02/10/2019,14:16:09.352,11.56,0.29,22.611,178.13,99.73,19153.1,1.0,107.33,18865.27,1.0,65.3,20558.22,1.0,104.12,19023.08,1.0,76.28,20362.31,1.0,61.52,18688.9,1.0
33,SC6-LPT,25.0,02/10/2019,14:16:15.794,11.54,0.3,22.614,178.65,104.28,19182.42,1.0,104.48,18851.52,1.0,69.64,20518.96,1.0,108.45,19025.79,1.0,80.03,20391.74,1.0,63.84,18632.03,1.0
34,SC6-LPT,25.0,02/10/2019,14:16:20.241,11.54,0.29,22.615,179.13,105.47,19310.07,1.0,105.08,18884.85,1.0,63.57,20491.46,1.0,104.07,19013.95,1.0,78.25,20355.44,1.0,62.65,18674.35,1.0
35,SC6-LPT,25.0,02/10/2019,14:16:25.684,11.54,0.28,22.616999999999997,178.86,101.15,19285.52,1.0,106.92,18873.58,1.0,67.8,20552.86,1.0,103.07,19064.98,1.0,79.32,20405.61,1.0,62.74,18732.41,1.0
36,SC6-LPT,25.0,02/10/2019,14:16:31.128,11.54,0.27,22.623,178.91,103.96,19221.36,1.0,105.28,18874.04,1.0,67.49,20605.63,1.0,105.38,19005.53,1.0,75.73,20417.83,1.0,63.62,18719.61,1.0
37,SC6-LPT,25.0,02/10/2019,14:16:36.576,11.56,0.29,22.625999999999998,178.72,101.45,19283.37,1.0,103.28,18902.01,1.0,70.83,20561.56,1.0,104.81,19045.78,1.0,76.63,20370.76,1.0,64.25,18744.11,1.0
38,SC6-LPT,25.0,02/10/2019,14:16:42.020,11.56,0.29,22.629,178.85,106.37,19183.29,1.0,109.09,18870.87,1.0,67.77,20690.37,1.0,107.81,19046.1,1.0,82.28,20416.97,1.0,65.44,18669.64,1.0
39,SC6-LPT,25.0,02/10/2019,14:16:47.465,11.54,0.27,22.63,178.79,99.83,19329.73,1.0,102.81,18846.1,1.0,65.6,20686.85,1.0,104.75,19055.56,1.0,77.82,20402.1,1.0,62.84,18621.98,1.0
40,SC6-LPT,25.0,02/10/2019,14:16:53.913,11.56,0.27,22.631999999999998,178.66,101.82,19297.2,1.0,106.39,18885.62,1.0,66.81,20646.27,1.0,104.33,19041.58,1.0,78.17,20436.49,1.0,64.03,18637.56,1.0
41,SC6-LPT,25.0,02/10/2019,14:16:58.357,11.56,0.3,22.631999999999998,178.98,105.85,19249.88,1.0,107.82,18870.33,1.0,68.26,20656.19,1.0,107.53,18992.46,1.0,77.29,20361.37,1.0,65.83,18710.96,1.0
